condition,positive,negative,known,missing,missing_percent,raw_nonempty_values
ACL,24,34,58,4349,98.68391195824825,0;1
MCL,9,49,58,4349,98.68391195824825,0;1
Medial Meniscus,26,32,58,4349,98.68391195824825,0;1
Lateral Meniscus,23,35,58,4349,98.68391195824825,0;1
Medial OA,15,43,58,4349,98.68391195824825,0;1
Lateral OA,11,47,58,4349,98.68391195824825,0;1
PF OA,21,37,58,4349,98.68391195824825,0;1
Effusion,35,23,58,4349,98.68391195824825,0;1
Synovitis,27,31,58,4349,98.68391195824825,0;1
Baker's,12,46,58,4349,98.68391195824825,0;1
Contusion,19,39,58,4349,98.68391195824825,0;1
Fracture,18,40,58,4349,98.68391195824825,0;1
