metric,macro_average,conditions_with_defined_metric,conditions_total
coverage,0.4479166666666667,12,12
sensitivity_recall,0.7781045751633987,12,12
specificity,0.8217757936507937,12,12
precision_PPV,0.818617724867725,12,12
NPV,0.8732429335370512,11,12
F1,0.782052079801626,12,12
accuracy,0.8509001069276376,12,12
balanced_accuracy,0.7999401844070961,12,12
cohens_kappa,0.6642533692161414,11,12
prevalence,0.3458333333333334,12,12
all_study_correct_label_yield,0.3833333333333333,12,12
all_positive_capture,0.3650914424269687,12,12
all_negative_capture,0.39019022741745024,12,12
