condition,studies,decided,coverage,TP,FP,TN,FN,sensitivity_recall,specificity,precision_PPV,NPV,F1,accuracy,balanced_accuracy,cohens_kappa,kappa_meaningful,organizer_positive,organizer_negative,prevalence,decided_prevalence,uncertain,not_mentioned,below_confidence_threshold,abstained_reference_positive,abstained_reference_negative,all_study_correct_label_yield,all_positive_capture,all_negative_capture,not_mentioned_gold_positive,not_mentioned_gold_negative,not_mentioned_negative_agreement,confidence_threshold,sensitivity_recall_ci_low,sensitivity_recall_ci_high,specificity_ci_low,specificity_ci_high,precision_PPV_ci_low,precision_PPV_ci_high,NPV_ci_low,NPV_ci_high,coverage_ci_low,coverage_ci_high,not_mentioned_negative_agreement_ci_low,not_mentioned_negative_agreement_ci_high
ACL,40,24,0.6,9,0,14,1,0.9,1.0,1.0,0.9333333333333333,0.9473684210526315,0.9583333333333334,0.95,0.9130434782608696,True,16,24,0.4,0.4166666666666667,13,3,0,6,10,0.575,0.5625,0.5833333333333334,0,3,1.0,0,0.5958499732047615,0.9821237869049271,0.7846891972623643,1.0,0.7008549515804559,1.0,0.7018347012621998,0.9881331045067315,0.44595893660346186,0.7365167431570808,0.4385029682449546,1.0
MCL,40,31,0.775,3,0,28,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,34,0.15,0.0967741935483871,5,4,0,3,6,0.775,0.5,0.8235294117647058,0,4,1.0,0,0.4385029682449546,1.0,0.8793566952341543,0.9999999999999998,0.4385029682449546,1.0,0.8793566952341543,0.9999999999999998,0.6249690325768998,0.8768390867645927,0.5101091635454027,1.0
Medial Meniscus,40,27,0.675,11,3,13,0,1.0,0.8125,0.7857142857142857,1.0,0.88,0.8888888888888888,0.90625,0.7792915531335148,True,18,22,0.45,0.4074074074074074,7,6,0,7,6,0.6,0.6111111111111112,0.5909090909090909,3,3,0.5,0,0.7411670330319684,1.0,0.5699111903802586,0.9340840092857187,0.524107694133997,0.9242861328730683,0.7719046276458016,0.9999999999999999,0.5201774618987768,0.799154977682173,0.1876163064826506,0.8123836935173494
Lateral Meniscus,40,31,0.775,12,2,14,3,0.8,0.875,0.8571428571428571,0.8235294117647058,0.8275862068965517,0.8387096774193549,0.8375,0.6764091858037579,True,16,24,0.4,0.4838709677419355,3,6,0,1,8,0.65,0.75,0.5833333333333334,0,6,1.0,0,0.5481455128483065,0.9295245065301844,0.639771727342413,0.9650225122567595,0.6005862050302965,0.9599060787285351,0.5897054143116588,0.9380887336237901,0.6249690325768998,0.8768390867645927,0.6096657120978346,1.0
Medial OA,40,12,0.3,2,0,9,1,0.6666666666666666,1.0,1.0,0.9,0.8,0.9166666666666666,0.8333333333333333,0.7499999999999999,True,11,29,0.275,0.25,11,17,0,8,20,0.275,0.18181818181818182,0.3103448275862069,1,16,0.9411764705882353,0,0.2076596008020477,0.9385080552796037,0.7008549515804559,1.0,0.34238022750665303,1.0,0.5958499732047615,0.9821237869049271,0.18074845229746528,0.45430018818144935,0.7301796936242461,0.9895395990150025
Lateral OA,40,8,0.2,0,1,6,1,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.75,0.42857142857142855,-0.14285714285714285,True,7,33,0.175,0.125,11,21,0,6,26,0.15,0.0,0.18181818181818182,1,20,0.9523809523809523,0,0.0,0.7934506856227626,0.4868721707256811,0.9743203756552565,0.0,0.7934506856227626,0.4868721707256811,0.9743203756552565,0.10499989725437704,0.347573063463995,0.7733063992587743,0.9915440121901737
PF OA,40,12,0.3,1,0,11,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,15,25,0.375,0.08333333333333333,15,13,0,14,14,0.3,0.06666666666666667,0.44,3,10,0.7692307692307693,0,0.20654931437723745,1.0,0.7411670330319684,1.0,0.20654931437723745,1.0,0.7411670330319684,1.0,0.18074845229746528,0.45430018818144935,0.49743624053272495,0.9182047128150143
Effusion,40,29,0.725,8,1,11,9,0.47058823529411764,0.9166666666666666,0.8888888888888888,0.55,0.6153846153846154,0.6551724137931034,0.6936274509803921,0.3526785714285714,True,25,15,0.625,0.5862068965517241,9,2,0,8,3,0.475,0.32,0.7333333333333333,1,1,0.5,0,0.26165106442409436,0.6903676493999558,0.646120088858883,0.9851349055950829,0.5650002944233439,0.9801091123614551,0.34208534245034233,0.7418021417443759,0.5716504419378943,0.8389198375233267,0.09453120573423074,0.9054687942657693
Synovitis,40,12,0.3,8,4,0,0,1.0,0.0,0.6666666666666666,,0.8,0.6666666666666666,0.5,,False,19,21,0.475,0.6666666666666666,1,27,0,11,17,0.2,0.42105263157894735,0.0,10,17,0.6296296296296297,0,0.6755924351161198,1.0,0.0,0.4898908364545973,0.39062208887279953,0.8618799089087867,,,0.18074845229746528,0.45430018818144935,0.4422923441210239,0.784674870390344
Baker's,40,10,0.25,2,0,7,1,0.6666666666666666,1.0,1.0,0.875,0.8,0.9,0.8333333333333333,0.736842105263158,True,8,32,0.2,0.3,8,22,0,5,25,0.225,0.25,0.21875,1,21,0.9545454545454546,0,0.2076596008020477,0.9385080552796037,0.6456695649333126,1.0,0.34238022750665303,1.0,0.5291118177871464,0.9775825085499433,0.14187118639096302,0.40193961420768026,0.7820195416134267,0.991930572378736
