model,repeat,variant,condition,checks,valid,positive,negative,uncertain,not_mentioned,semantic_abstention,technical_failure,decided,correct,incorrect,failure_parse_error,failure_generation_truncated,TP,FP,TN,FN,correct_yield,coverage,conditional_accuracy,failure_evidence_error
medgemma,1,first_pass,ACL,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,1,first_pass,MCL,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,1,first_pass,Medial Meniscus,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,1,first_pass,Lateral Meniscus,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,1,first_pass,Medial OA,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,1,first_pass,Lateral OA,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,1,first_pass,PF OA,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,1,first_pass,Effusion,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,1,first_pass,Synovitis,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,1,first_pass,Baker's,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,1,first_pass,Contusion,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,1,first_pass,Fracture,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,ACL,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,MCL,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,Medial Meniscus,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,Lateral Meniscus,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,Medial OA,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,Lateral OA,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,PF OA,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,Effusion,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,Synovitis,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,Baker's,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,Contusion,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,Fracture,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,2,first_pass,ACL,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,2,first_pass,MCL,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,2,first_pass,Medial Meniscus,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,2,first_pass,Lateral Meniscus,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,2,first_pass,Medial OA,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,2,first_pass,Lateral OA,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,2,first_pass,PF OA,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
