run,condition,planned,recorded,valid,positive,negative,uncertain,not_mentioned,evidence_error,ambiguous_evidence_error,schema_error,generation_truncated
control-1,ACL,5,5,4,2,2,0,0,1,0,0,0
control-1,MCL,5,5,4,1,3,0,0,1,0,0,0
control-1,Medial Meniscus,5,5,5,1,4,0,0,0,0,0,0
control-1,Lateral Meniscus,5,5,4,2,1,0,1,0,1,0,0
control-1,Medial OA,5,5,5,1,1,0,3,0,0,0,0
control-1,Lateral OA,5,5,4,0,1,0,3,1,0,0,0
control-1,PF OA,5,5,4,1,1,0,2,1,0,0,0
control-1,Effusion,5,5,3,3,0,0,0,1,1,0,0
control-1,Synovitis,5,5,2,2,0,0,0,2,1,0,0
control-1,Baker's,5,5,4,0,2,0,2,1,0,0,0
control-1,Contusion,5,5,4,1,1,0,2,1,0,0,0
control-1,Fracture,5,5,5,0,4,0,1,0,0,0,0
candidate-1,ACL,5,4,0,0,0,0,0,0,0,3,1
candidate-1,MCL,5,4,0,0,0,0,0,0,0,3,1
candidate-1,Medial Meniscus,5,4,0,0,0,0,0,0,0,3,1
candidate-1,Lateral Meniscus,5,4,0,0,0,0,0,0,0,3,1
candidate-1,Medial OA,5,4,0,0,0,0,0,0,0,3,1
candidate-1,Lateral OA,5,4,0,0,0,0,0,0,0,3,1
candidate-1,PF OA,5,4,0,0,0,0,0,0,0,3,1
candidate-1,Effusion,5,4,0,0,0,0,0,0,0,3,1
candidate-1,Synovitis,5,4,0,0,0,0,0,0,0,3,1
candidate-1,Baker's,5,4,0,0,0,0,0,0,0,3,1
candidate-1,Contusion,5,4,0,0,0,0,0,0,0,3,1
candidate-1,Fracture,5,4,0,0,0,0,0,0,0,3,1
candidate-2,ACL,5,0,0,0,0,0,0,0,0,0,0
candidate-2,MCL,5,0,0,0,0,0,0,0,0,0,0
candidate-2,Medial Meniscus,5,0,0,0,0,0,0,0,0,0,0
candidate-2,Lateral Meniscus,5,0,0,0,0,0,0,0,0,0,0
candidate-2,Medial OA,5,0,0,0,0,0,0,0,0,0,0
candidate-2,Lateral OA,5,0,0,0,0,0,0,0,0,0,0
candidate-2,PF OA,5,0,0,0,0,0,0,0,0,0,0
candidate-2,Effusion,5,0,0,0,0,0,0,0,0,0,0
candidate-2,Synovitis,5,0,0,0,0,0,0,0,0,0,0
candidate-2,Baker's,5,0,0,0,0,0,0,0,0,0,0
candidate-2,Contusion,5,0,0,0,0,0,0,0,0,0,0
candidate-2,Fracture,5,0,0,0,0,0,0,0,0,0,0
control-2,ACL,5,0,0,0,0,0,0,0,0,0,0
control-2,MCL,5,0,0,0,0,0,0,0,0,0,0
control-2,Medial Meniscus,5,0,0,0,0,0,0,0,0,0,0
control-2,Lateral Meniscus,5,0,0,0,0,0,0,0,0,0,0
control-2,Medial OA,5,0,0,0,0,0,0,0,0,0,0
control-2,Lateral OA,5,0,0,0,0,0,0,0,0,0,0
control-2,PF OA,5,0,0,0,0,0,0,0,0,0,0
control-2,Effusion,5,0,0,0,0,0,0,0,0,0,0
control-2,Synovitis,5,0,0,0,0,0,0,0,0,0,0
control-2,Baker's,5,0,0,0,0,0,0,0,0,0,0
control-2,Contusion,5,0,0,0,0,0,0,0,0,0,0
control-2,Fracture,5,0,0,0,0,0,0,0,0,0,0
